,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,7270,9047,10140,11298,11557,11612,11671,11681,11688
thld:0.020,5552,7295,8792,10968,11564,11865,11958,11998,12045
thld:0.025,4107,5787,7364,10106,11223,11700,11985,12176,12250
thld:0.030,3007,4486,5894,9034,10499,11281,11694,12164,12350
thld:0.035,2132,3378,4676,7915,9611,10672,11282,12102,12401
thld:0.040,1519,2511,3649,6725,8698,9923,10654,11909,12324
thld:0.045,1155,1927,2934,5791,7718,9119,10028,11531,12219
thld:0.050,884,1482,2320,5018,6946,8307,9427,11201,12041
thld:0.100,97,201,333,1042,1929,2792,3661,5970,8254
