,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,287507,317672,337576,355526,358556,359448,359466,359608,359825
thld:0.020,249424,290807,322838,361002,370090,373427,374383,375314,375446
thld:0.025,208079,255166,294724,352718,371476,378447,381794,384527,385194
thld:0.030,170712,218735,262165,335362,363967,377063,383585,389968,391173
thld:0.035,139922,186260,229952,313770,351614,370392,380869,392421,395910
thld:0.040,115253,158003,200593,290351,335147,359665,374124,392320,398738
thld:0.045,95100,134244,174331,265940,316093,345254,364526,389484,398087
thld:0.050,79518,114547,151633,242140,295526,329249,351546,383952,397305
thld:0.100,17522,28786,42692,90939,133729,170152,201111,264299,246415
