,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,105194,123088,133714,144238,146232,146704,146892,147005,146801
thld:0.020,85717,105533,121485,142334,148023,149915,150703,151095,151250
thld:0.025,66661,86782,105288,135323,145764,150228,151942,153595,154234
thld:0.030,50995,69917,88490,124131,139864,147156,150883,154992,156063
thld:0.035,39250,56138,73784,112316,131960,142120,147830,155246,157311
thld:0.040,30557,45256,61297,100501,122327,135063,143028,153333,157547
thld:0.045,23815,36594,50975,88525,112456,127308,136898,151059,156249
thld:0.050,18812,29788,42111,77688,102013,118069,128831,146593,155246
thld:0.100,2827,5149,8225,21096,34723,47456,59005,87295,108130
