,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,23718,23952,23944,23594,23782,23815,23788,23704,23713,24012,23737,23773,23904,23586,23697
thld:0.020,24728,24849,24918,24469,24825,24584,24774,24644,24658,24968,24627,24632,24507,24358,24594
thld:0.025,25207,25212,25342,24916,25144,25068,25272,25077,25153,25432,25142,25053,25082,24899,25163
thld:0.030,25384,25621,25473,25194,25378,25281,25367,25293,25473,25452,25411,25199,25274,25032,25408
thld:0.035,25443,25768,25639,25267,25599,25391,25577,25517,25728,25812,25560,25356,25312,25168,25510
thld:0.040,25519,25845,25754,25342,25514,25576,25669,25582,25733,25757,25554,25275,25418,25182,25680
thld:0.045,25580,25775,25807,25300,25620,25675,25554,25454,25485,25956,25516,25462,25467,25060,25656
thld:0.050,25672,25765,25691,25334,25275,25688,25506,25618,25800,25940,25725,25391,25400,25219,25698
thld:0.100,25518,26127,25717,25410,25570,25541,25418,25446,25778,25808,25781,25343,25278,25373,25479
