,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,7304,2080,877,453,247,165,109,69,54,42,33,28,25,24,15
thld:0.020,7474,2137,888,459,255,169,113,74,54,45,35,30,25,24,15
thld:0.025,7523,2172,891,461,260,172,114,76,55,45,34,32,25,24,15
thld:0.030,7538,2175,885,454,258,176,109,74,56,44,35,32,26,24,15
thld:0.035,7559,2178,890,457,258,178,112,74,55,45,34,32,26,24,15
thld:0.040,7555,2162,891,449,255,176,111,76,53,45,34,31,24,23,15
thld:0.045,7520,2170,885,456,263,180,113,77,54,45,34,30,24,22,16
thld:0.050,7525,2169,887,456,266,182,113,76,53,45,34,30,24,22,15
thld:0.100,7516,2165,880,454,263,180,112,76,54,45,34,29,24,23,15
