,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,130922,145149,146150,146709,146852,146873,146791,147098,146657
thld:0.020,145320,149414,149825,150710,151165,151313,151346,151537,151195
thld:0.025,146641,150994,151683,153339,154086,153819,154246,154310,154328
thld:0.030,146404,151411,151591,153972,155383,155822,155946,156261,156638
thld:0.035,147033,151119,152107,154951,156501,156966,157628,157834,157584
thld:0.040,146662,150946,152491,155418,157421,158173,158857,158840,159474
thld:0.045,147011,151197,152424,156315,157510,158803,159397,160373,159297
thld:0.050,146718,151449,152186,156812,158093,159273,159298,160581,161769
thld:0.100,146505,150800,152554,156203,158298,160755,161193,162928,161719
