,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,52720,24395,14641,9628,7000,5194,4180,3305,2746,2284,1937,1638,1520,1310,1216
thld:0.020,47894,22061,13362,8740,6380,4734,3792,3040,2531,2084,1737,1497,1360,1180,1093
thld:0.025,41465,19072,11614,7573,5489,4147,3281,2642,2202,1807,1500,1300,1184,1050,962
thld:0.030,34902,15985,9769,6349,4633,3467,2782,2216,1844,1503,1275,1077,983,887,818
thld:0.035,29245,13260,8045,5346,3813,2917,2336,1856,1534,1240,1071,892,806,741,682
thld:0.040,24295,11027,6668,4406,3147,2447,1947,1545,1290,1042,891,746,674,613,559
thld:0.045,20221,9134,5529,3603,2608,2055,1620,1274,1075,877,744,642,578,529,486
thld:0.050,16702,7557,4610,2980,2143,1679,1326,1032,883,722,611,541,496,433,396
thld:0.100,3264,1475,898,563,439,317,248,212,174,155,135,106,88,78,73
