,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,61676,28516,17169,11949,8709,6490,5149,4074,3395,2890,2427,2092,1861,1767,1545
thld:0.020,63666,29642,17780,12339,8948,6752,5278,4191,3516,2976,2556,2193,1937,1803,1592
thld:0.025,64859,30063,18105,12462,9072,6849,5387,4298,3605,3038,2598,2245,1965,1839,1641
thld:0.030,65571,30374,18341,12585,9162,6850,5408,4358,3670,3090,2621,2241,1987,1844,1676
thld:0.035,66068,30495,18534,12769,9241,6957,5434,4420,3694,3136,2634,2264,1993,1860,1673
thld:0.040,66412,30622,18563,12642,9244,6963,5423,4427,3682,3136,2664,2260,2023,1883,1681
thld:0.045,66833,30761,18630,12773,9271,6967,5432,4417,3715,3129,2639,2260,2036,1898,1683
thld:0.050,66645,30837,18616,12767,9324,6962,5454,4433,3724,3124,2651,2263,2015,1890,1675
thld:0.100,67188,31341,18897,12858,9342,7017,5494,4491,3735,3156,2702,2317,2060,1914,1717
