,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,8018,2263,1005,500,285,197,140,102,69,49,35,28,27,16,17
thld:0.020,7768,2208,945,499,274,197,136,89,68,44,31,25,22,11,17
thld:0.025,7134,1974,894,455,264,184,129,82,59,42,28,22,21,11,14
thld:0.030,6376,1762,794,402,223,169,114,77,57,39,25,20,19,11,12
thld:0.035,5658,1566,693,351,199,150,101,71,45,33,21,17,17,8,12
thld:0.040,4946,1388,583,293,176,132,95,66,40,29,19,16,15,7,9
thld:0.045,4215,1185,505,258,152,110,84,56,39,26,18,16,14,7,9
thld:0.050,3642,1012,427,220,125,95,74,53,35,25,17,13,15,6,8
thld:0.100,799,224,91,43,24,17,18,11,5,4,3,3,5,3,2
