,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,23855,24012,24071,23831,23848,23888,24006,23832,23929,24222,23710,23873,24008,23791,23803
thld:0.020,24989,25020,25129,24790,25038,24793,25017,24844,24979,25192,24838,24986,24832,24771,24750
thld:0.025,25455,25504,25601,25276,25369,25330,25484,25497,25573,25817,25412,25513,25464,25224,25447
thld:0.030,25788,25942,26048,25597,25886,25618,25862,25934,25859,25963,25703,25712,25696,25367,25794
thld:0.035,25955,26182,26316,25832,26016,25978,26007,26118,26147,26256,26060,25874,26018,25725,26042
thld:0.040,25814,26264,26309,25934,25970,26123,26157,26090,26276,26538,26255,26119,25963,25839,26096
thld:0.045,25988,26392,26409,26142,26084,26233,26294,26377,26395,26508,26140,26196,26032,25904,26196
thld:0.050,26077,26390,26529,26294,26244,26273,26148,26415,26418,26595,26488,26197,26090,25987,25956
thld:0.100,26067,26612,26696,26345,26313,26510,26100,26460,26591,26793,26392,26355,26139,26291,25977
