,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,8250,2329,1045,514,288,201,142,102,68,51,39,29,27,16,17
thld:0.020,8438,2427,1036,526,306,211,148,98,76,51,39,31,24,11,17
thld:0.025,8507,2424,1062,521,318,217,150,101,74,51,36,29,24,12,15
thld:0.030,8519,2426,1069,533,317,226,150,103,78,52,37,29,25,14,14
thld:0.035,8615,2471,1068,542,323,231,157,107,77,53,37,29,25,13,14
thld:0.040,8664,2496,1067,546,327,228,158,110,78,52,37,29,24,13,14
thld:0.045,8694,2486,1059,551,327,225,160,112,82,53,38,33,26,15,15
thld:0.050,8712,2507,1060,545,331,234,162,115,81,53,38,32,29,17,15
thld:0.100,8797,2516,1074,552,338,238,165,115,81,55,37,33,29,17,15
