,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,50.11,50.15,50.45,49.77,50.17,49.36,51.26,50.70,50.52,49.92,50.20,49.40,51.29,50.66,51.23
thld:0.020,51.44,51.49,51.91,51.48,51.74,51.45,52.63,52.66,52.68,51.59,51.55,51.76,53.48,52.91,53.52
thld:0.025,52.28,52.30,52.86,52.55,52.62,52.90,53.79,54.01,53.82,52.74,52.80,53.66,55.31,54.90,55.12
thld:0.030,52.82,52.70,53.41,53.16,53.42,53.76,54.70,54.79,54.07,53.57,54.15,54.28,56.22,55.42,56.08
thld:0.035,53.26,53.12,53.76,54.04,53.99,54.26,55.11,55.21,54.16,53.89,54.48,54.56,55.41,56.08,55.82
thld:0.040,53.56,53.57,54.02,54.52,54.41,54.64,55.45,55.71,54.63,54.71,54.85,54.73,56.08,56.41,56.28
thld:0.045,53.88,53.72,54.25,54.85,54.55,55.25,55.80,55.91,54.94,55.50,55.32,55.12,56.26,56.71,56.43
thld:0.050,54.02,53.79,54.37,55.08,54.78,55.51,56.13,56.20,55.50,55.84,55.75,55.47,56.56,56.82,56.37
thld:0.100,54.58,54.33,55.04,55.42,55.39,55.90,56.60,56.68,56.53,56.30,56.37,55.86,56.16,56.36,56.26
