,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,49.08,49.34,49.19,50.09,49.90,48.74,48.84,48.01,48.16,48.36,47.75,47.66,47.99,49.65,48.85
thld:0.020,50.59,51.10,50.98,51.95,51.55,50.83,50.29,49.65,49.95,50.01,50.63,50.21,50.17,51.15,50.27
thld:0.025,51.65,52.17,51.97,52.73,52.21,51.35,51.50,50.50,50.92,51.17,51.30,51.36,51.18,51.89,52.18
thld:0.030,52.26,52.74,52.75,53.31,52.79,51.68,51.77,51.38,51.77,52.21,51.87,51.47,52.11,52.68,53.42
thld:0.035,52.78,53.45,53.39,53.83,53.24,52.25,52.33,52.17,52.13,52.98,52.13,52.05,52.10,53.12,53.90
thld:0.040,53.34,53.71,53.67,54.16,53.51,52.92,52.49,52.38,52.19,53.35,52.72,52.14,52.72,53.67,54.30
thld:0.045,53.74,54.06,53.91,54.50,53.79,53.25,52.69,52.79,52.82,53.36,53.00,52.44,53.03,54.04,54.67
thld:0.050,54.01,54.32,54.26,54.83,54.14,53.50,52.50,52.90,53.18,53.56,53.31,52.67,53.37,53.80,54.66
thld:0.100,55.13,55.29,55.37,55.73,55.32,54.94,54.34,54.47,54.82,55.09,54.75,54.93,54.84,55.37,56.62
