,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,36.67,41.61,45.07,48.26,48.83,48.99,49.04,49.07,49.09
thld:0.020,29.54,35.98,41.34,48.00,49.76,50.35,50.56,50.74,50.76
thld:0.025,23.03,29.91,36.16,45.82,49.14,50.50,51.14,51.67,51.79
thld:0.030,17.63,24.17,30.64,42.44,47.41,49.71,50.94,52.16,52.47
thld:0.035,13.57,19.50,25.72,38.66,44.90,48.21,50.08,52.35,52.99
thld:0.040,10.52,15.74,21.55,34.76,42.01,46.21,48.74,52.16,53.37
thld:0.045,8.23,12.67,17.90,30.93,38.77,43.70,46.90,51.48,53.37
thld:0.050,6.43,10.31,14.94,27.39,35.55,40.99,44.77,50.54,53.26
thld:0.100,0.96,1.84,2.98,7.86,12.89,17.43,21.85,32.06,41.27
