,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,0.3299999999999983,-3.240000000000002,-3.6700000000000017,0.1700000000000017,-1.6999999999999957,1.3900000000000006,0.240000000000002,1.5599999999999952,-1.259999999999998,1.240000000000002,2.4100000000000037,4.109999999999999,-2.4399999999999977,-0.3399999999999963,-4.450000000000003
thld:0.020,0.12000000000000455,-3.3200000000000003,-3.3100000000000023,-0.2700000000000031,-1.6600000000000037,2.3400000000000034,-0.7199999999999989,1.0599999999999952,2.770000000000003,3.3800000000000026,6.339999999999996,0.6799999999999997,-2.030000000000001,0.3399999999999963,-3.049999999999997
thld:0.025,0.240000000000002,-2.6400000000000006,-3.039999999999999,-0.5300000000000011,-1.8499999999999943,1.9799999999999969,0.17999999999999972,-0.03999999999999915,3.1799999999999997,0.17999999999999972,4.440000000000005,-1.8900000000000006,-4.260000000000005,-4.740000000000002,-3.789999999999999
thld:0.030,0.8599999999999994,-3.6899999999999977,-3.6699999999999946,-1.2899999999999991,-2.299999999999997,0.8000000000000043,-0.35999999999999943,-0.3100000000000023,2.789999999999999,-0.030000000000001137,5.560000000000002,-0.269999999999996,-3.210000000000001,-1.0399999999999991,-0.3200000000000003
thld:0.035,1.1400000000000006,-3.799999999999997,-3.700000000000003,0.11999999999999744,-2.030000000000001,1.2399999999999949,-0.46999999999999886,-0.9199999999999946,0.990000000000002,1.970000000000006,4.009999999999998,-0.14999999999999858,-2.719999999999999,0.060000000000002274,-0.9699999999999989
thld:0.040,1.3299999999999983,-4.82,-4.909999999999997,-0.39000000000000057,-2.6599999999999966,0.23000000000000398,-1.9299999999999997,0.10999999999999943,1.769999999999996,0.8999999999999986,3.190000000000005,-0.75,-3.8600000000000065,-1.4200000000000017,-4.960000000000001
thld:0.045,1.1199999999999974,-5.170000000000002,-4.659999999999997,1.1400000000000006,-3.059999999999995,-0.8399999999999963,-2.8799999999999955,-1.0399999999999991,1.4799999999999969,0.5700000000000003,0.5899999999999963,0.5399999999999991,-5.600000000000001,-0.240000000000002,-4.760000000000005
thld:0.050,0.9200000000000017,-5.460000000000001,-6.159999999999997,0.8799999999999955,-2.25,-1.3400000000000034,-2.0900000000000034,-0.6499999999999986,1.6999999999999957,3.1700000000000017,-0.75,1.2299999999999969,-7.289999999999999,-3.8800000000000026,-7.660000000000004
thld:0.100,3.3299999999999983,-7.090000000000003,-6.059999999999995,-0.9399999999999977,-5.479999999999997,-1.4799999999999969,0.1700000000000017,1.6899999999999977,1.5800000000000054,2.5899999999999963,0.6300000000000026,-12.840000000000003,-11.649999999999999,-0.5300000000000011,-13.189999999999998
