,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,2.990000000000002,2.8900000000000006,2.8200000000000003,2.780000000000001,2.8100000000000023,2.809999999999995,2.799999999999997,2.809999999999995,2.799999999999997
thld:0.020,2.5700000000000003,2.470000000000006,2.3599999999999994,2.219999999999999,2.25,2.240000000000002,2.260000000000005,2.259999999999998,2.25
thld:0.025,2.6200000000000045,2.289999999999999,2.0799999999999983,1.9399999999999977,1.970000000000006,1.9799999999999969,1.9600000000000009,1.980000000000004,1.990000000000002
thld:0.030,2.520000000000003,2.0,1.8399999999999963,1.7100000000000009,1.759999999999998,1.8000000000000043,1.7700000000000031,1.7899999999999991,1.7999999999999972
thld:0.035,2.729999999999997,2.009999999999998,1.6500000000000057,1.4699999999999989,1.5500000000000043,1.5900000000000034,1.6000000000000014,1.6300000000000026,1.6499999999999986
thld:0.040,2.989999999999995,2.0899999999999963,1.730000000000004,1.4699999999999989,1.5300000000000011,1.5599999999999952,1.5700000000000003,1.5699999999999932,1.6099999999999994
thld:0.045,3.039999999999999,2.1399999999999935,1.6999999999999957,1.3900000000000006,1.3999999999999986,1.4899999999999949,1.4799999999999969,1.4499999999999957,1.5
thld:0.050,2.9200000000000017,1.990000000000002,1.480000000000004,1.1799999999999997,1.1499999999999986,1.3099999999999952,1.3399999999999963,1.3100000000000023,1.3800000000000026
thld:0.100,6.18,4.0,1.2000000000000028,0.1600000000000037,-0.23000000000000398,-0.13000000000000256,0.04999999999999716,0.3200000000000003,0.45999999999999375
