,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,115056,52890,31738,21219,15274,11502,8892,7198,5955,5040,4226,3650,3235,2865,2595
thld:0.020,114395,52937,31623,21120,15157,11459,8873,7168,5951,5023,4220,3641,3210,2858,2588
thld:0.025,114187,52750,31522,21017,15129,11340,8847,7165,5926,5027,4210,3641,3213,2860,2584
thld:0.030,113097,52676,31343,20939,15150,11378,8783,7127,5927,5003,4171,3607,3186,2843,2569
thld:0.035,113439,52308,31372,20825,15090,11379,8822,7131,5903,4965,4182,3620,3195,2840,2571
thld:0.040,113305,52556,31313,20908,15065,11266,8780,7128,5912,4975,4180,3610,3197,2834,2553
thld:0.045,112732,52535,31358,20999,15147,11321,8779,7108,5895,4968,4169,3597,3190,2842,2554
thld:0.050,112710,52487,31174,20863,15079,11288,8746,7068,5805,4957,4154,3614,3179,2834,2547
thld:0.100,113125,52542,31157,20929,14924,11308,8753,7051,5880,4954,4171,3596,3161,2836,2550
