,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,260707,288847,291335,292468,292696,292670,292508,293142,292210
thld:0.020,282233,288839,290223,292005,292494,292691,292741,293040,292330
thld:0.025,281514,287753,289418,291845,292645,291930,292661,292565,292571
thld:0.030,279790,287098,287799,290248,291900,292074,292229,292358,293038
thld:0.035,280225,285625,287642,289954,291627,291638,292578,292258,291541
thld:0.040,279331,284731,287582,289052,291314,291450,292273,291306,292035
thld:0.045,279776,285156,287194,289734,289916,290416,291054,291789,289296
thld:0.050,279115,285582,286505,289925,290087,290091,289582,290413,291770
thld:0.100,278429,284326,286937,287750,287748,288347,287495,286085,280975
