,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,106012,48904,29192,19506,14097,10556,8202,6568,5462,4629,3909,3371,2963,2628,2384
thld:0.020,93943,43264,25864,17160,12486,9324,7268,5846,4847,4109,3455,2977,2565,2294,2097
thld:0.025,80598,37026,22206,14726,10672,7945,6154,4944,4130,3493,2929,2504,2196,1946,1792
thld:0.030,67690,30967,18595,12295,8923,6564,5164,4119,3438,2875,2435,2061,1809,1619,1479
thld:0.035,56494,25730,15391,10186,7340,5449,4300,3433,2815,2394,2024,1714,1504,1338,1228
thld:0.040,46623,21328,12761,8437,6061,4527,3560,2827,2321,1968,1678,1430,1239,1104,992
thld:0.045,38717,17709,10629,6896,4984,3752,2945,2296,1894,1629,1385,1198,1036,938,857
thld:0.050,32027,14741,8864,5683,4060,3089,2380,1854,1516,1324,1116,995,869,772,704
thld:0.100,6033,2831,1700,1055,798,612,445,359,281,241,227,186,156,134,118
