,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,3.039999999999999,2.6499999999999986,2.970000000000006,2.289999999999999,2.6000000000000014,2.049999999999997,3.710000000000001,3.3999999999999986,3.4199999999999946,2.3400000000000034,3.1199999999999974,2.1700000000000017,3.539999999999999,3.6300000000000026,4.1200000000000045
thld:0.020,2.1899999999999977,1.8799999999999955,2.4399999999999977,1.990000000000002,2.0700000000000003,2.1700000000000017,2.990000000000002,3.3200000000000003,3.5500000000000043,1.9500000000000028,2.479999999999997,2.1899999999999977,3.710000000000001,3.5700000000000003,4.009999999999998
thld:0.025,1.7199999999999989,1.6400000000000006,2.240000000000002,1.7100000000000009,1.6799999999999997,2.4399999999999977,3.019999999999996,3.1700000000000017,3.549999999999997,1.8900000000000006,2.4499999999999957,2.8599999999999994,4.039999999999999,4.439999999999998,4.200000000000003
thld:0.030,1.5799999999999983,1.0,2.0,1.3499999999999943,1.4600000000000009,2.6600000000000037,3.0799999999999983,3.1199999999999974,3.1199999999999974,1.9699999999999989,2.969999999999999,2.8900000000000006,4.460000000000001,4.75,4.75
thld:0.035,1.5499999999999972,0.8399999999999963,1.4899999999999949,1.6899999999999977,1.4600000000000009,2.549999999999997,3.059999999999995,2.980000000000004,2.729999999999997,1.6199999999999974,2.6799999999999997,3.020000000000003,3.1000000000000014,4.630000000000003,4.030000000000001
thld:0.040,1.3899999999999935,0.8200000000000003,1.2100000000000009,1.740000000000002,1.5700000000000003,2.490000000000002,2.969999999999999,3.4200000000000017,2.789999999999999,2.539999999999999,2.8000000000000043,2.8700000000000045,3.6799999999999997,5.240000000000002,4.130000000000003
thld:0.045,1.2000000000000028,0.6699999999999946,1.0,1.2800000000000011,1.1600000000000037,2.4100000000000037,3.1199999999999974,2.9099999999999966,2.5799999999999983,3.1700000000000017,3.3500000000000014,3.239999999999995,4.380000000000003,5.480000000000004,4.619999999999997
thld:0.050,0.8200000000000003,0.05000000000000426,0.5700000000000003,1.0599999999999952,1.0499999999999972,2.3799999999999955,3.1899999999999977,2.8200000000000003,2.3699999999999974,2.8500000000000014,3.270000000000003,3.3200000000000003,4.409999999999997,5.530000000000001,4.989999999999995
thld:0.100,0.2600000000000051,-2.519999999999996,-0.990000000000002,-1.8299999999999983,-0.36999999999999744,-0.1699999999999946,2.719999999999999,2.8900000000000006,2.9100000000000037,2.450000000000003,4.810000000000002,1.75,4.269999999999996,3.5900000000000034,4.689999999999998
