,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,3.219999999999999,3.030000000000001,2.9200000000000017,2.8100000000000023,2.8299999999999983,2.8399999999999963,2.8299999999999983,2.8299999999999983,2.8299999999999983
thld:0.020,2.740000000000002,2.6999999999999957,2.509999999999998,2.280000000000001,2.289999999999999,2.270000000000003,2.2900000000000063,2.289999999999999,2.289999999999999
thld:0.025,2.6299999999999955,2.510000000000005,2.270000000000003,2.049999999999997,2.020000000000003,2.0400000000000063,2.010000000000005,2.030000000000001,2.020000000000003
thld:0.030,2.4099999999999966,2.3699999999999974,2.049999999999997,1.8699999999999974,1.8900000000000006,1.8700000000000045,1.8500000000000014,1.8299999999999983,1.8200000000000003
thld:0.035,2.3399999999999963,2.279999999999994,1.9299999999999997,1.75,1.7299999999999969,1.6899999999999977,1.6799999999999997,1.6899999999999977,1.7000000000000028
thld:0.040,2.3300000000000054,2.3200000000000003,1.9100000000000037,1.7800000000000011,1.740000000000002,1.7100000000000009,1.6599999999999966,1.6599999999999966,1.6499999999999986
thld:0.045,2.1899999999999977,2.1499999999999986,1.7899999999999991,1.6700000000000017,1.730000000000004,1.6900000000000048,1.6400000000000006,1.5500000000000043,1.5600000000000023
thld:0.050,2.030000000000001,1.9499999999999957,1.6700000000000017,1.5799999999999983,1.5499999999999972,1.5799999999999983,1.529999999999994,1.4600000000000009,1.4499999999999957
thld:0.100,2.229999999999997,1.5500000000000043,1.0599999999999952,0.9200000000000017,0.5700000000000003,1.0100000000000051,0.9899999999999949,0.9600000000000009,0.7899999999999991
