,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,44.67,45.24,45.16,46.15,46.21,45.26,45.50,44.35,44.53,45.02,44.52,43.94,44.65,46.14,45.17
thld:0.020,40.71,41.45,41.70,42.37,42.54,41.94,41.95,40.84,40.93,41.35,41.43,41.40,42.11,42.82,41.38
thld:0.025,35.45,36.21,36.52,37.05,37.43,37.00,36.77,35.77,35.74,36.45,36.67,36.72,36.78,37.52,36.85
thld:0.030,30.03,30.48,30.94,31.52,31.95,31.22,31.21,30.98,30.62,31.43,31.09,31.37,31.54,31.78,31.35
thld:0.035,25.13,25.44,26.00,26.63,26.72,26.23,26.54,26.16,25.92,26.53,26.51,26.71,26.43,26.53,26.04
thld:0.040,21.08,21.27,21.65,22.24,22.53,22.19,21.71,21.45,21.72,21.95,22.77,22.50,22.48,22.82,22.31
thld:0.045,17.54,17.65,17.98,18.52,18.94,18.44,18.17,18.01,18.16,18.39,18.88,18.91,18.82,19.11,19.02
thld:0.050,14.57,14.65,15.08,15.42,15.84,15.55,14.97,14.87,14.89,15.37,15.66,15.36,15.64,15.74,15.78
thld:0.100,2.86,2.87,3.00,3.11,3.03,3.35,3.13,2.98,3.19,3.25,3.47,3.54,3.59,3.44,2.92
