,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,47.02,47.55,47.35,47.34,47.44,47.26,47.39,47.24,46.94,47.43,46.98,47.23,47.65,47.14,47.20
thld:0.020,49.25,49.53,49.29,49.28,49.71,49.07,49.49,49.13,48.99,49.40,48.92,49.16,49.45,49.04,49.26
thld:0.025,50.26,50.61,50.34,50.44,50.64,50.26,50.50,50.36,50.16,50.61,50.11,50.22,50.50,49.98,50.50
thld:0.030,50.87,51.48,51.02,50.99,51.34,50.76,50.94,51.09,50.84,51.12,50.81,50.73,51.04,50.53,51.28
thld:0.035,51.19,52.00,51.48,51.34,51.72,51.25,51.40,51.47,51.47,51.64,51.32,51.13,51.54,50.93,51.67
thld:0.040,51.49,52.27,51.75,51.57,51.87,51.58,51.63,51.70,51.63,51.94,51.60,51.43,51.74,51.23,52.00
thld:0.045,51.75,52.45,52.01,51.85,52.03,51.85,51.72,51.92,51.89,52.17,51.80,51.64,51.95,51.38,52.25
thld:0.050,51.98,52.68,52.23,51.95,52.14,52.14,51.88,52.08,52.17,52.40,52.00,51.79,52.00,51.54,52.42
thld:0.100,52.36,53.07,52.53,52.36,52.44,52.66,52.46,52.48,52.62,52.95,52.20,52.24,52.28,52.01,52.82
