,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,39.39,42.55,44.75,46.26,46.45,46.51,46.58,46.57,46.59
thld:0.020,35.05,40.07,43.61,47.41,48.06,48.28,48.31,48.45,48.40
thld:0.025,29.59,35.80,40.89,46.99,48.68,49.31,49.45,49.87,49.86
thld:0.030,24.23,30.99,36.87,45.57,48.50,49.68,50.14,50.74,50.86
thld:0.035,19.94,26.80,32.92,43.53,47.37,49.24,49.91,51.05,51.50
thld:0.040,16.05,22.51,28.84,40.43,45.35,48.05,49.28,50.94,51.58
thld:0.045,13.36,18.97,25.12,37.57,43.37,46.71,48.60,51.03,52.05
thld:0.050,10.98,16.18,22.02,34.39,40.63,44.62,47.09,50.19,51.61
thld:0.100,1.83,3.42,5.22,12.68,19.36,24.74,29.07,38.79,46.04
