,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,48.81,49.01,49.08,49.10,49.12,49.11,49.12,49.11,49.12
thld:0.020,50.24,50.48,50.69,50.78,50.81,50.81,50.81,50.81,50.81
thld:0.025,50.93,51.29,51.55,51.73,51.79,51.82,51.86,51.85,51.84
thld:0.030,51.27,51.67,52.04,52.33,52.43,52.51,52.57,52.60,52.62
thld:0.035,51.48,51.95,52.37,52.84,52.99,53.06,53.17,53.28,53.32
thld:0.040,51.59,52.13,52.62,53.17,53.39,53.57,53.68,53.88,53.95
thld:0.045,51.68,52.25,52.79,53.43,53.75,53.96,54.13,54.36,54.47
thld:0.050,51.72,52.33,52.91,53.69,54.01,54.30,54.51,54.82,54.96
thld:0.100,51.86,52.58,53.34,54.43,55.17,55.69,56.19,57.31,58.12
