,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,50.10,50.19,50.51,49.81,49.97,49.40,51.21,50.44,50.39,49.86,50.04,49.28,51.14,50.42,51.12
thld:0.020,51.47,51.51,51.94,51.44,51.67,51.32,52.36,52.19,52.32,51.14,51.14,51.10,53.06,52.10,52.87
thld:0.025,52.27,52.32,52.71,52.45,52.31,52.64,53.50,53.51,53.48,52.55,52.89,52.92,54.76,54.61,54.57
thld:0.030,52.67,52.66,53.19,52.87,53.08,53.58,54.13,54.37,53.91,53.38,54.47,53.64,55.76,55.33,55.92
thld:0.035,53.08,53.00,53.45,53.63,53.58,53.94,54.42,54.65,54.11,53.65,54.80,54.17,55.63,55.86,56.30
thld:0.040,53.42,53.28,53.70,53.98,53.72,54.36,54.80,54.93,54.66,54.26,55.17,54.53,56.21,56.57,56.83
thld:0.045,53.57,53.39,53.87,54.16,54.00,54.66,54.95,55.30,54.70,54.88,55.61,54.98,56.53,56.71,57.16
thld:0.050,53.63,53.43,54.04,54.43,54.16,54.71,55.52,55.43,55.16,55.41,56.20,55.23,57.00,56.74,56.97
thld:0.100,53.91,53.71,54.14,54.40,54.35,54.67,55.53,55.53,55.18,55.73,56.56,55.62,57.22,56.86,56.89
