,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,50.01,50.10,50.36,49.70,49.96,49.29,51.04,50.36,50.18,49.63,49.87,49.15,51.19,50.49,50.98
thld:0.020,51.27,51.42,51.72,51.23,51.53,50.98,52.18,52.07,52.14,51.06,51.12,51.39,53.38,52.50,53.22
thld:0.025,51.88,52.16,52.56,52.15,52.17,52.23,53.33,53.56,53.35,52.35,52.33,53.16,54.93,54.52,54.66
thld:0.030,52.17,52.34,52.92,52.41,52.71,53.10,53.82,53.98,53.46,52.93,53.39,53.45,55.69,55.31,56.12
thld:0.035,52.41,52.52,53.07,53.10,53.02,53.38,54.00,54.30,53.56,52.79,52.91,53.49,54.65,55.47,55.88
thld:0.040,52.56,52.86,53.05,53.41,53.05,53.94,54.25,54.75,54.43,53.67,53.67,54.14,55.79,57.00,57.26
thld:0.045,52.66,52.79,53.16,53.57,53.24,54.41,54.82,55.04,54.61,54.21,54.20,55.11,57.20,57.74,57.91
thld:0.050,52.57,52.70,53.05,53.62,53.29,54.92,55.70,55.02,55.14,54.31,55.04,55.57,57.29,58.24,57.85
thld:0.100,53.24,52.25,52.66,52.51,53.66,53.74,56.46,57.56,56.84,57.48,57.81,56.04,59.56,59.36,60.86
