,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,47.02,47.50,47.40,47.40,47.41,47.19,47.41,47.17,47.00,47.46,47.02,47.20,47.63,47.17,47.18
thld:0.020,49.11,49.48,49.27,49.36,49.61,49.02,49.38,49.05,49.02,49.38,48.87,49.26,49.39,49.12,49.25
thld:0.025,50.24,50.45,50.36,50.53,50.53,50.08,50.44,50.48,50.19,50.56,49.95,50.20,50.48,49.97,50.57
thld:0.030,50.66,51.35,51.04,51.18,51.18,50.67,50.85,51.16,50.76,51.00,50.70,50.64,51.12,50.35,51.34
thld:0.035,50.77,51.82,51.62,51.57,51.55,51.27,51.31,51.56,51.33,51.53,51.31,50.99,51.56,50.87,51.68
thld:0.040,51.13,52.08,51.96,51.84,51.65,51.49,51.51,51.75,51.64,51.87,51.58,51.35,51.72,51.17,51.96
thld:0.045,51.42,52.31,52.03,52.16,52.00,51.78,51.56,52.16,51.98,52.11,51.82,51.56,52.01,51.49,52.17
thld:0.050,51.89,52.59,52.26,52.40,52.06,52.25,51.78,52.33,52.21,52.31,51.99,51.87,52.10,51.60,52.30
thld:0.100,52.86,54.48,53.36,53.29,53.38,54.11,52.96,53.37,53.44,53.74,52.95,54.01,53.05,53.41,53.12
