,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,51.18,52.00,52.11,52.34,48.49,48.80,48.18,48.61,50.98,48.78,53.97,51.92,63.41,68.57,60.00
thld:0.020,52.55,53.09,53.94,54.14,50.32,51.47,52.50,52.59,53.06,55.84,56.67,54.17,63.89,67.65,58.33
thld:0.025,52.99,54.31,53.58,54.16,52.44,54.26,53.63,55.28,54.95,58.82,56.36,57.78,66.67,73.33,59.09
thld:0.030,53.21,54.74,52.83,52.72,53.47,56.79,53.25,53.15,56.63,55.00,63.04,62.50,67.74,71.43,57.14
thld:0.035,53.53,54.58,52.32,54.10,55.32,58.37,53.33,52.33,59.42,55.10,60.00,61.29,62.96,69.23,55.00
thld:0.040,53.28,54.66,52.50,52.25,54.39,58.56,50.00,56.58,57.14,60.53,59.26,59.26,58.33,66.67,57.89
thld:0.045,53.38,54.26,52.34,52.26,55.60,64.29,54.29,65.15,60.78,54.84,57.69,62.50,61.90,61.11,62.50
thld:0.050,53.60,54.61,52.14,53.96,56.73,63.20,56.99,71.43,63.64,51.85,58.33,68.18,57.89,56.25,57.14
thld:0.100,53.93,52.37,52.41,55.56,63.04,60.00,53.85,81.82,71.43,66.67,50.00,50.00,33.33,50.00,66.67
