,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,50.06,50.13,50.44,49.74,50.02,49.38,51.18,50.51,50.40,49.80,49.95,49.20,51.11,50.49,51.13
thld:0.020,51.39,51.48,51.90,51.37,51.75,51.16,52.47,52.25,52.41,51.25,51.21,51.29,53.42,52.50,53.11
thld:0.025,52.16,52.35,52.77,52.42,52.36,52.59,53.62,53.79,53.39,52.63,52.45,53.13,54.94,54.65,55.04
thld:0.030,52.60,52.75,53.25,52.76,53.01,53.48,54.26,54.56,53.85,53.42,53.97,53.99,56.07,55.46,56.68
thld:0.035,53.05,53.15,53.56,53.80,53.70,53.90,54.60,54.75,54.08,53.58,54.38,54.78,56.08,56.29,56.98
thld:0.040,53.41,53.57,53.92,54.19,53.97,54.42,54.81,55.42,54.71,54.70,55.15,55.80,57.16,58.22,58.04
thld:0.045,53.63,53.73,54.18,54.56,54.33,54.89,55.22,55.98,55.02,55.22,55.78,56.59,57.72,58.79,58.59
thld:0.050,53.81,53.89,54.34,55.12,54.61,55.35,55.85,56.37,55.69,56.31,56.38,57.31,58.53,58.98,58.72
thld:0.100,54.98,55.07,54.68,55.27,55.33,55.71,57.84,57.97,56.92,57.24,58.15,60.38,60.86,61.30,60.78
