,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,4.520000000000003,4.240000000000002,4.119999999999997,3.979999999999997,4.050000000000004,4.039999999999999,4.0,4.030000000000001,3.980000000000004
thld:0.020,3.289999999999999,3.5700000000000003,3.6099999999999994,3.5600000000000023,3.489999999999995,3.5700000000000003,3.549999999999997,3.530000000000001,3.549999999999997
thld:0.025,3.3299999999999983,3.5900000000000034,3.6999999999999957,3.1300000000000026,3.1400000000000006,3.25,3.230000000000004,3.230000000000004,3.25
thld:0.030,3.259999999999998,3.530000000000001,3.5799999999999983,2.740000000000002,2.770000000000003,2.8100000000000023,2.75,2.799999999999997,2.8500000000000014
thld:0.035,2.8200000000000003,3.030000000000001,3.2099999999999937,2.6700000000000017,2.469999999999999,2.4099999999999966,2.470000000000006,2.6499999999999986,2.5899999999999963
thld:0.040,2.519999999999996,2.8200000000000003,2.9199999999999946,2.3599999999999994,1.9699999999999989,2.1400000000000006,2.25,2.3599999999999994,2.289999999999999
thld:0.045,2.4099999999999966,2.75,3.1000000000000014,2.3599999999999994,1.9500000000000028,2.0600000000000023,2.3200000000000003,2.3400000000000034,2.289999999999999
thld:0.050,2.5,2.5899999999999963,2.8700000000000045,2.240000000000002,1.9399999999999977,2.1899999999999977,2.3299999999999983,2.1999999999999957,2.1700000000000017
thld:0.100,2.1400000000000006,-0.5400000000000063,-0.21000000000000085,2.569999999999993,1.7199999999999989,2.1400000000000006,2.4100000000000037,2.5900000000000034,2.3500000000000014
