,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,1.6300000000000026,1.7600000000000051,1.7999999999999972,1.7399999999999949,1.7700000000000031,1.759999999999998,1.759999999999998,1.759999999999998,1.75
thld:0.020,1.1000000000000014,1.3100000000000023,1.3999999999999986,1.3900000000000006,1.3999999999999986,1.3900000000000006,1.3799999999999955,1.3699999999999974,1.3900000000000006
thld:0.025,0.769999999999996,1.0600000000000023,1.1999999999999957,1.1499999999999986,1.1200000000000045,1.1400000000000006,1.1400000000000006,1.1200000000000045,1.1100000000000065
thld:0.030,0.35999999999999943,0.7100000000000009,1.019999999999996,1.0,1.0100000000000051,1.0100000000000051,1.0,0.9799999999999969,0.990000000000002
thld:0.035,0.1600000000000037,0.5300000000000011,0.9199999999999946,0.9200000000000017,0.8999999999999986,0.8999999999999986,0.9100000000000037,0.9399999999999977,0.9600000000000009
thld:0.040,0.01999999999999602,0.4099999999999966,0.8199999999999932,0.8599999999999994,0.9100000000000037,0.9299999999999997,0.8999999999999986,0.9500000000000028,0.9799999999999969
thld:0.045,-0.2700000000000031,0.18999999999999773,0.6099999999999994,0.7800000000000011,0.9200000000000017,0.8800000000000026,0.9100000000000037,0.9100000000000037,0.9500000000000028
thld:0.050,-0.46000000000000085,-0.13000000000000256,0.4100000000000037,0.7100000000000009,0.8500000000000014,0.8999999999999986,0.9199999999999946,0.9099999999999966,0.9500000000000028
thld:0.100,-1.3200000000000003,-1.6700000000000017,-0.37000000000000455,0.6599999999999966,1.1099999999999994,1.0400000000000063,1.1100000000000065,1.4200000000000017,1.3999999999999986
