,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,2.960000000000001,2.5900000000000034,3.0,2.3100000000000023,2.5700000000000003,2.1799999999999997,3.770000000000003,3.289999999999999,3.3900000000000006,2.3200000000000003,2.9200000000000017,1.9400000000000048,3.450000000000003,3.3100000000000023,3.940000000000005
thld:0.020,2.1799999999999997,1.8999999999999986,2.5700000000000003,1.9600000000000009,2.0700000000000003,2.049999999999997,2.990000000000002,3.1400000000000006,3.309999999999995,1.8100000000000023,2.280000000000001,1.9499999999999957,3.940000000000005,3.299999999999997,3.769999999999996
thld:0.025,1.75,1.7199999999999989,2.25,1.7100000000000009,1.6400000000000006,2.3800000000000026,3.009999999999998,3.1400000000000006,3.0600000000000023,1.9100000000000037,2.3800000000000026,2.730000000000004,4.299999999999997,4.559999999999995,4.310000000000002
thld:0.030,1.6799999999999997,1.1499999999999986,1.9399999999999977,1.2899999999999991,1.509999999999998,2.539999999999999,3.1799999999999997,3.1600000000000037,2.8299999999999983,2.200000000000003,3.0700000000000003,3.0800000000000054,4.740000000000002,4.82,5.109999999999999
thld:0.035,1.8299999999999983,0.9399999999999977,1.7000000000000028,1.7399999999999949,1.7800000000000011,2.219999999999999,2.969999999999999,2.8299999999999983,2.3500000000000014,1.6000000000000014,2.780000000000001,3.4100000000000037,4.18,5.039999999999999,4.969999999999999
thld:0.040,1.6899999999999977,0.8999999999999986,1.6300000000000026,1.759999999999998,1.8900000000000006,2.3500000000000014,2.719999999999999,3.1499999999999986,2.6199999999999974,2.190000000000005,3.009999999999998,4.049999999999997,4.979999999999997,6.509999999999998,5.519999999999996
thld:0.045,1.5800000000000054,0.8299999999999983,1.5600000000000023,1.6000000000000014,1.8099999999999952,2.3599999999999994,2.8299999999999983,3.1299999999999955,2.4000000000000057,2.460000000000001,3.3599999999999994,4.520000000000003,5.1299999999999955,6.579999999999998,5.760000000000005
thld:0.050,1.1000000000000014,0.5300000000000011,1.1900000000000048,1.8699999999999974,1.7299999999999969,2.3100000000000023,3.1700000000000017,3.239999999999995,2.5799999999999983,3.260000000000005,3.5500000000000043,4.800000000000004,5.550000000000004,6.57,5.75
thld:0.100,1.0399999999999991,-0.20000000000000284,-0.10000000000000142,0.6200000000000045,0.7399999999999949,0.7800000000000011,3.240000000000002,3.4499999999999957,2.3700000000000045,2.4200000000000017,4.189999999999998,5.480000000000004,6.579999999999998,6.759999999999998,6.280000000000001
