,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,125519,57782,34811,23810,17385,13221,10518,8468,7059,5967,5059,4378,3860,3538,3172
thld:0.020,123845,56936,34328,23494,17136,13076,10382,8371,6985,5885,4993,4327,3811,3493,3124
thld:0.025,119826,55045,33290,22806,16647,12711,10120,8127,6765,5722,4859,4213,3706,3387,3034
thld:0.030,114306,52231,31749,21840,15882,12146,9683,7769,6482,5447,4667,4042,3548,3252,2907
thld:0.035,107054,49274,29783,20515,14968,11483,9188,7339,6087,5166,4391,3811,3366,3072,2745
thld:0.040,99672,45739,27534,19088,13850,10704,8478,6820,5649,4772,4056,3555,3152,2878,2547
thld:0.045,91068,41756,25443,17538,12779,9783,7854,6298,5176,4423,3767,3254,2846,2648,2350
thld:0.050,81967,37927,23227,15915,11705,8945,7084,5738,4752,4031,3473,3023,2621,2422,2157
thld:0.100,28824,13463,8288,5694,4243,3273,2601,2056,1694,1417,1242,1073,932,878,767
