,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,17759,22304,22468,22582,22668,22591,22713,22708,22710
thld:0.020,21669,22225,22412,22541,22653,22625,22690,22666,22639
thld:0.025,21629,22169,22271,22442,22616,22659,22650,22693,22642
thld:0.030,21486,22132,22238,22486,22530,22610,22618,22672,22659
thld:0.035,21565,22122,22239,22355,22521,22563,22547,22675,22611
thld:0.040,21474,22082,22056,22422,22439,22610,22564,22623,22516
thld:0.045,21438,22063,22216,22305,22379,22550,22509,22629,22634
thld:0.050,21451,21976,22137,22402,22451,22496,22569,22607,22610
thld:0.100,21496,22011,22121,22117,22361,22398,22482,22450,22340
