,rng:3.00,rng:5.00,rng:7.00,rng:9.00,rng:11.00,rng:13.00,rng:15.00,rng:17.00,rng:19.00,rng:21.00,rng:23.00,rng:25.00,rng:27.00,rng:29.00,rng:31.00
thld:0.015,3284,1942,1456,1131,893,759,644,538,464,379,340,306,276,239,225
thld:0.020,3264,1930,1460,1130,892,752,636,527,459,375,335,305,274,236,224
thld:0.025,3244,1913,1429,1114,880,742,624,516,451,370,328,295,266,231,217
thld:0.030,3203,1874,1395,1093,857,719,610,505,438,356,318,293,259,225,212
thld:0.035,3134,1795,1352,1050,835,704,584,482,420,340,305,273,247,214,200
thld:0.040,3003,1728,1299,1011,802,667,556,451,400,318,286,256,228,199,186
thld:0.045,2906,1636,1247,969,759,628,529,417,365,298,259,244,211,181,170
thld:0.050,2783,1547,1174,918,709,573,483,395,333,272,244,222,194,168,157
thld:0.100,1400,764,550,421,301,254,218,173,145,114,96,88,80,66,66
