,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,214869,248337,268767,288402,292070,293134,293175,293065,293654
thld:0.020,170454,207917,238316,277099,287512,290755,292165,293272,293472
thld:0.025,129979,168566,203674,259102,278092,285594,289485,292633,292750
thld:0.030,98601,135144,170582,236942,263921,277410,283548,291315,292104
thld:0.035,75286,108093,141751,213176,247852,265595,275774,288481,291515
thld:0.040,57855,86669,116963,189621,227971,251113,264044,283520,289587
thld:0.045,44820,69681,96785,166784,208037,235076,250757,276122,284312
thld:0.050,35173,56349,80299,146215,189223,217772,235811,267491,279713
thld:0.100,4681,9001,15033,39233,64369,86316,106479,153748,185997
