,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,287830,321819,323450,325121,325625,325592,325724,325709,325672
thld:0.020,315186,321601,323140,324791,325538,325473,325998,325703,325874
thld:0.025,313541,320643,322396,323135,324694,325293,325657,325840,325651
thld:0.030,311924,319014,321871,324129,324071,324988,324253,325431,324914
thld:0.035,312160,318479,320510,323134,323831,324988,324474,324481,325287
thld:0.040,311722,317940,320758,322369,323844,323477,324847,324532,324543
thld:0.045,310396,318089,319205,321743,323500,323848,322189,323825,322871
thld:0.050,310560,318056,319786,322307,321231,322317,322933,324264,323408
thld:0.100,310564,316458,316629,320070,318689,318954,319750,319192,312534
