,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,45.71,46.04,46.40,46.56,46.55,46.51,46.54,46.54,46.54
thld:0.020,48.15,48.16,48.46,48.39,48.44,48.37,48.43,48.45,48.47
thld:0.025,49.18,48.95,49.31,49.61,49.78,49.80,49.83,49.93,49.88
thld:0.030,49.76,49.38,49.81,50.19,50.64,50.66,50.70,50.78,50.80
thld:0.035,49.76,49.72,50.49,50.86,51.22,51.28,51.39,51.41,51.47
thld:0.040,49.80,49.68,50.35,50.88,51.34,51.45,51.47,51.57,51.65
thld:0.045,49.83,49.44,50.25,51.45,51.65,51.92,52.12,52.21,52.22
thld:0.050,49.94,49.36,50.33,51.85,51.56,51.78,52.00,52.05,52.12
thld:0.100,53.09,52.90,51.92,53.05,53.94,54.70,54.93,55.61,56.29
