,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,50.18,50.79,51.17,51.31,51.38,51.35,51.33,51.36,51.37
thld:0.020,50.92,51.67,52.36,52.78,52.85,52.97,52.90,52.91,53.00
thld:0.025,52.00,52.80,53.36,53.44,53.71,53.80,53.80,53.94,53.92
thld:0.030,53.09,53.27,53.42,53.59,53.84,54.17,54.21,54.38,54.46
thld:0.035,52.88,53.21,53.34,53.80,53.99,54.36,54.47,54.84,55.01
thld:0.040,51.66,52.09,52.56,53.54,53.81,54.25,54.52,55.04,55.18
thld:0.045,52.22,51.81,52.64,53.74,53.92,54.27,54.98,55.52,55.65
thld:0.050,52.94,51.49,52.23,54.01,54.09,54.63,55.13,55.67,56.03
thld:0.100,54.19,54.77,52.71,53.90,54.94,55.41,56.20,57.76,59.03
