,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,49.19,49.59,49.84,50.07,50.16,50.17,50.17,50.18,50.18
thld:0.020,50.46,50.86,51.16,51.48,51.63,51.68,51.69,51.71,51.70
thld:0.025,51.35,51.58,51.81,52.30,52.54,52.65,52.67,52.73,52.74
thld:0.030,51.72,51.74,52.05,52.66,53.03,53.22,53.31,53.41,53.45
thld:0.035,52.32,52.09,52.22,52.89,53.38,53.65,53.78,53.96,54.05
thld:0.040,52.89,52.42,52.48,53.16,53.71,54.03,54.21,54.46,54.60
thld:0.045,53.32,52.69,52.63,53.31,53.86,54.28,54.52,54.85,55.06
thld:0.050,53.57,52.88,52.67,53.35,53.89,54.42,54.74,55.14,55.44
thld:0.100,59.84,56.83,54.31,53.57,54.05,54.75,55.27,56.47,57.35
