,limit:3,limit:5,limit:7,limit:14,limit:21,limit:28,limit:35,limit:56,limit:84
thld:0.015,7292,9054,10143,11280,11467,11566,11633,11591,11652
thld:0.020,5533,7274,8769,10934,11533,11816,11932,11973,11986
thld:0.025,4104,5764,7356,10123,11189,11728,11925,12184,12202
thld:0.030,2994,4469,5913,9035,10470,11302,11692,12168,12295
thld:0.035,2122,3377,4685,7909,9622,10664,11257,12104,12351
thld:0.040,1494,2493,3648,6713,8663,9895,10651,11849,12291
thld:0.045,1141,1922,2914,5774,7726,9049,10025,11535,12142
thld:0.050,881,1470,2309,5008,6920,8313,9400,11153,12112
thld:0.100,97,201,331,1036,1928,2797,3655,5976,8184
